"id_marker";"date_time";"description";"latitude";"longitude";"statut";"type_marker_id";"user_id"
111;"";"Gmeos";5.3229631;-4.0555202;"1";1;0
112;"";"Meira";5.2117502;-3.7370027;"1";1;0
113;"";"Église Christ Embassy Koweit";5.3221043;-4.0499793;"1";1;0
114;"";"Mosquée du Koweit";5.3220854;-4.0510134;"1";1;0
115;"";"Église Miderj";5.3221001;-4.0512803;"1";1;0
116;"";"Église Evangelique des Assemblées de Dieu Temple Peniel";5.3220996;-4.0518295;"1";1;0
117;"";"Mosquée du Pailler";5.376396;-4.0120519;"1";1;0
118;"";"Église Saint-André";5.3426846;-4.0741072;"1";1;0
119;"";"Résidence des Freres du Sacre-Ceur";5.371986;-3.9647396;"1";1;0
120;"";"Sanctuaire Marial";5.3573396;-4.0392623;"1";1;0
121;"";"Église évangeique la caravane du salut";5.3018102;-3.9778526;"1";1;0
122;"";"Bethanie Israel";5.3027038;-3.9798114;"1";1;0
123;"";"Église eveangelique le palais des rois";5.3046325;-3.9832334;"1";1;0
124;"";"Église Evangelique du Réveil de Côte d'Ivoire";5.3515939;-4.075921;"1";1;0
125;"";"Medad Prosperity";5.3226201;-4.105892;"1";1;0
126;"";"Église Advantiste du 7e jour";5.3220619;-4.1057526;"1";1;0
127;"";"Église betel";5.3214049;-4.1046368;"1";1;0
128;"";"Église du christianisme celestre";5.3214824;-4.1039555;"1";1;0
129;"";"Ministère de la Montagne de Feu et de Miracles";5.3933649;-3.9738021;"1";1;0
130;"";"Faith Family";5.3604639;-3.986178;"1";1;0
131;"";"Mosquée Marcory Sicogi";5.2975644;-3.9770389;"1";1;0
132;"";"Mosqué de Belleville";5.4299277;-3.9946232;"1";1;0
133;"";"Église de Pentecôte de Côte d'Ivoire (EPCI)";5.2129233;-3.73205;"1";1;0
134;"";"Mosquée Rahman";5.3008209;-3.9644532;"1";1;0
135;"";"Temple John Ahui de M'batto-Bouaké";5.3500527;-3.7916075;"1";1;0
136;"";"Saint Ambroise Ma vigne";5.3963543;-3.9882483;"1";1;0
137;"";"Mission Évangélique Béthel Délivrance";5.3433059;-4.0694375;"1";1;0
138;"";"Mosquée Salam 1";5.3510182;-4.0353156;"1";1;0
139;"";"Église Évangélique des assemblées de dieu Bethel Abodo Akeikoi";5.446755;-4.0137846;"1";1;0
140;"";"Mosquée Blanche";5.4294935;-4.0236809;"1";1;0
141;"";"Paroisse Saint Marc Abobo Akeikoi Extension";5.45139;-4.0078132;"1";1;0
142;"";"Mosquée Itihao";5.3504754;-4.0326205;"1";1;0
143;"";"Paroisse Saint Joseph Artisan d’Attecoubé";5.3500771;-4.0344079;"1";1;0
144;"";"Mosquée Mankono 2";5.3508791;-4.0200012;"1";1;0
145;"";"Cappelle Saint Jean Paul II";5.391689;-3.9320108;"1";1;0
146;"";"Église du Plein Évangile";5.3647013;-3.9972782;"1";1;0
147;"";"Églice Saint François d’Assise Micao";5.3834095;-4.0966502;"1";1;0
148;"";"Fraternité Ordre des Frères Mineurs Capucins";5.4179682;-3.9770904;"1";1;0
149;"";"Sœurs Saints Cœurs de Jésus et de Marie";5.4158872;-3.9928889;"1";1;0
